population_cnv_id	chr	start	end	deletion_observations	deletion_frequency	deletion_standard_error	duplication_observations	duplication_frequency	duplication_standard_error	observations	frequency	standard_error	type	sample_size	study
1	1	10529	177368	0	0	1	3	0.075	0.555277708	3	0.075	0.555277708	1	40	42Mcalls
2	1	13516	91073	0	0	1	27	0.675	0.109713431	27	0.675	0.109713431	1	40	42Mcalls
3	1	18888	35451	0	0	1	2	0.002366864	0.706269473	2	0.002366864	0.706269473	1	845	DDD
4	1	23946	88271	27	0.031952663	0.189350482	21	0.024852071	0.215489247	48	0.056804734	0.140178106	0	845	DDD
5	1	25112	233565	16	0.018934911	0.247621825	14	0.016568047	0.265037996	30	0.035502959	0.179303936	0	845	DDD
6	1	30322	35509	1	0.001183432	0.999408109	1	0.001183432	0.999408109	2	0.002366864	0.706269473	0	845	DDD
7	1	35462	35534	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
8	1	40718	731985	38	0.044970414	0.158531882	49	0.057988166	0.138653277	87	0.10295858	0.101542213	0	845	DDD
9	1	61735	98602	0	0	1	2	0.000337895	0.706987307	2	0.000337895	0.706987307	1	5919	Affy6
10	1	69481	89430	0	0	1	3	0.003550296	0.576324476	3	0.003550296	0.576324476	1	845	DDD
11	1	81136	90347	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
12	1	83177	92104	0	0	1	3	0.075	0.555277708	3	0.075	0.555277708	1	40	42Mcalls
13	1	87433	89163	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
14	1	87433	89163	4	0.008888889	0.497772817	0	0	1	4	0.008888889	0.497772817	-1	450	42Mgenotyped
15	1	87446	109121	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
16	1	136206	137762	4	0.1	0.474341649	0	0	1	4	0.1	0.474341649	-1	40	42Mcalls
17	1	156721	236932	0	0	1	5	0.00591716	0.445888515	5	0.00591716	0.445888515	1	845	DDD
18	1	227447	267541	0	0	1	3	0.075	0.555277708	3	0.075	0.555277708	1	40	42Mcalls
19	1	317770	328037	0	0	1	5	0.011111111	0.444722135	5	0.011111111	0.444722135	1	450	42Mgenotyped
20	1	317770	349527	0	0	1	3	0.075	0.555277708	3	0.075	0.555277708	1	40	42Mcalls
21	1	317770	471337	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
22	1	326302	327172	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
23	1	351377	404070	0	0	1	6	0.15	0.376386326	6	0.15	0.376386326	1	40	42Mcalls
24	1	359638	470259	11	0.275	0.256727659	3	0.075	0.555277708	14	0.35	0.215472902	0	40	42Mcalls
25	1	444338	449236	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
26	1	449343	450574	5	0.125	0.418330013	0	0	1	5	0.125	0.418330013	-1	40	42Mcalls
27	1	461415	471337	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
28	1	464701	641259	10	0.01183432	0.314351027	1	0.001183432	0.999408109	11	0.013017751	0.299542416	0	845	DDD
29	1	468739	471337	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
30	1	521413	522531	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
31	1	521629	582245	11	0.275	0.256727659	1	0.025	0.987420883	12	0.3	0.241522946	0	40	42Mcalls
32	1	527921	703658	0	0	1	5	0.125	0.418330013	5	0.125	0.418330013	1	40	42Mcalls
33	1	546632	547869	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
34	1	564405	568757	4	0.004733728	0.498815164	0	0	1	4	0.004733728	0.498815164	-1	845	DDD
35	1	564540	570404	0	0	1	409	0.908888889	0.014925333	409	0.908888889	0.014925333	1	450	42Mgenotyped
36	1	564777	570652	2	0.05	0.689202438	12	0.3	0.241522946	14	0.35	0.215472902	0	40	42Mcalls
37	1	565259	811596	12	0.014201183	0.286618041	6	0.007100592	0.406796306	18	0.021301775	0.233178309	0	845	DDD
38	1	570384	573894	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
39	1	570384	588153	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
40	1	586391	636915	0	0	1	5	0.125	0.418330013	5	0.125	0.418330013	1	40	42Mcalls
41	1	586571	592340	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
42	1	586571	606449	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
43	1	587397	592340	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
44	1	606506	607410	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
