variantaccession	chr	start	end	varianttype	variantsubtype	reference	pubmedid	method	supportingvariants	mergedorsample	samplesize	observedgains	observedlosses	genes	samples
nsv482937	1	1	2300000	CNV	loss	Iafrate_et_al_2004	15286789	BAC aCGH,FISH	nssv2995976	M	39	0	1	ACAP3,AGRN,ANKRD65,ATAD3A,ATAD3B,ATAD3C,AURKAIP1,B3GALT6,C1orf159,C1orf170,C1orf233,C1orf86,CALML6,CCNL2,CDK11A,CDK11B,CPSF3L,DDX11L1,DVL1,FAM132A,FAM138A,FAM138F,FAM41C,FAM87B,GABRD,GLTPD1,GNB1,HES4,ISG15,KIAA1751,KLHL17,LINC00115,LINC01128,LOC100129534,LOC100130417,LOC100132062,LOC100132287,LOC100133331,LOC100288069,LOC148413,LOC254099,LOC729737,MIB2,MIR200A,MIR200B,MIR429,MIR6723,MIR6726,MIR6727,MIR6808,MIR6859-1,MIR6859-2,MMP23A,MMP23B,MORN1,MRPL20,MXRA8,NADK,NOC2L,OR4F16,OR4F29,OR4F3,OR4F5,PLEKHN1,PRKCZ,PUSL1,RNF223,SAMD11,SCNN1D,SDF4,SKI,SLC35E2,SLC35E2B,SSU72,TAS1R3,TMEM240,TMEM52,TMEM88B,TNFRSF18,TNFRSF4,TTLL10,UBE2J2,VWA1,WASH7P	
dgv1n82	1	10001	22118	CNV	duplication	Sudmant_et_al_2013	23825009	Oligo aCGH,Sequencing	nsv945697,nsv945698	M	97	10	0	DDX11L1,MIR6859-1,MIR6859-2,WASH7P	HGDP00456,HGDP00521,HGDP00542,HGDP00665,HGDP00778,HGDP00927,HGDP00998,HGDP01029,HGDP01284,HGDP01307
nsv7879	1	10001	127330	CNV	gain+loss	Perry_et_al_2008	18304495	Oligo aCGH	nssv14786,nssv14785,nssv14773,nssv14772,nssv14781,nssv14771,nssv14764,nssv14775,nssv14762,nssv14766,nssv18103,nssv14777,nssv14770,nssv14789,nssv14782,nssv14788,nssv14791,nssv14784,nssv14790,nssv14787,nssv18117,nssv14776,nssv21423,nssv14763,nssv14768,nssv14783,nssv14780,nssv14774,nssv18113,nssv18093	M	31	25	1	DDX11L1,FAM138A,FAM138F,MIR6859-1,MIR6859-2,OR4F5,WASH7P	NA07029,NA07048,NA10839,NA10863,NA12155,NA12802,NA12872,NA18502,NA18504,NA18517,NA18537,NA18552,NA18563,NA18853,NA18860,NA18942,NA18972,NA18975,NA18980,NA19007,NA19132,NA19144,NA19173,NA19221,NA19240
nsv958854	1	10191	10281	CNV	deletion	Dogan_et_al_2014	24416366	Sequencing	nssv3005193	M	1	0	1		BILGI_BIOE
nsv428112	1	10377	177417	CNV	gain	Perry_et_al_2008b	18775914	BAC aCGH,FISH,PCR	nssv450130	M	62	1	0	DDX11L1,FAM138A,FAM138F,LOC729737,MIR6859-1,MIR6859-2,OR4F5,WASH7P	HGDP01088
esv2758911	1	10377	1018704	CNV	gain+loss	Redon_et_al_2006	17122850	BAC aCGH,SNP array	esv2757715,esv2756831	M	270	17	169	AGRN,C1orf159,C1orf170,DDX11L1,FAM138A,FAM138F,FAM41C,FAM87B,HES4,ISG15,KLHL17,LINC00115,LINC01128,LOC100130417,LOC100132062,LOC100132287,LOC100133331,LOC100288069,LOC729737,MIR6723,MIR6859-1,MIR6859-2,NOC2L,OR4F16,OR4F29,OR4F3,OR4F5,PLEKHN1,RNF223,SAMD11,WASH7P	NA06985,NA07000,NA07019,NA07034,NA07056,NA10835,NA10838,NA10846,NA10855,NA10857,NA10860,NA10863,NA11829,NA11830,NA11832,NA11840,NA11993,NA11994,NA11995,NA12004,NA12005,NA12044,NA12056,NA12057,NA12144,NA12155,NA12234,NA12239,NA12248,NA12249,NA12740,NA12752,NA12760,NA12762,NA12801,NA12802,NA12812,NA12813,NA12814,NA12815,NA12864,NA12865,NA12873,NA12874,NA12875,NA12891,NA18500,NA18501,NA18502,NA18505,NA18506,NA18507,NA18508,NA18516,NA18521,NA18523,NA18524,NA18529,NA18532,NA18537,NA18540,NA18545,NA18547,NA18550,NA18555,NA18558,NA18561,NA18562,NA18563,NA18566,NA18571,NA18572,NA18573,NA18576,NA18577,NA18579,NA18593,NA18603,NA18608,NA18609,NA18611,NA18620,NA18621,NA18622,NA18623,NA18624,NA18632,NA18633,NA18635,NA18636,NA18637,NA18852,NA18853,NA18854,NA18855,NA18858,NA18859,NA18860,NA18861,NA18862,NA18863,NA18871,NA18912,NA18913,NA18914,NA18940,NA18944,NA18947,NA18949,NA18951,NA18952,NA18956,NA18959,NA18960,NA18961,NA18966,NA18967,NA18968,NA18969,NA18970,NA18971,NA18974,NA18975,NA18976,NA18978,NA18981,NA18990,NA18991,NA18994,NA18995,NA18997,NA18998,NA19000,NA19007,NA19094,NA19098,NA19100,NA19101,NA19102,NA19103,NA19116,NA19119,NA19120,NA19127,NA19128,NA19129,NA19130,NA19131,NA19132,NA19137,NA19138,NA19139,NA19140,NA19142,NA19143,NA19153,NA19159,NA19160,NA19161,NA19171,NA19172,NA19173,NA19194,NA19200,NA19201,NA19202,NA19203,NA19204,NA19205,NA19206,NA19207,NA19208,NA19209,NA19211,NA19221,NA19222,NA19223
esv27265	1	10499	177368	CNV	gain+loss	Conrad_et_al_2009	19812545	Oligo aCGH	esv16041,esv19525,esv19430,esv20178,esv14423,esv15038,esv17542	M	40	32	6	DDX11L1,FAM138A,FAM138F,LOC729737,MIR6859-1,MIR6859-2,OR4F5,WASH7P	NA06985,NA07037,NA11894,NA11993,NA12004,NA12006,NA12044,NA12156,NA12239,NA12414,NA12489,NA12749,NA12776,NA12828,NA15510,NA18502,NA18505,NA18508,NA18511,NA18517,NA18523,NA18858,NA18861,NA18907,NA18909,NA19099,NA19108,NA19114,NA19129,NA19147,NA19190,NA19225,NA19240,NA19257
nsv1147468	1	11099	47000	CNV	duplication	John_et_al_2014	26484159	Sequencing	nssv4000242	M	1	1	0	DDX11L1,FAM138A,FAM138F,MIR6859-1,MIR6859-2,WASH7P	KWB1
dgv1n106	1	11100	29200	CNV	duplication	Alsmadi_et_al_2014	24896259	Sequencing	nsv1141121,nsv1118423	M	2	2	0	DDX11L1,MIR6859-1,MIR6859-2,WASH7P	KWS1,KWS2
dgv1e59	1	11189	36787	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	esv3343481,esv3364878	M	185	2	0	DDX11L1,FAM138A,FAM138F,MIR6859-1,MIR6859-2,WASH7P	NA12878,NA19239
